,dj_odds,opp_odds,dj_win
1151,1.02,19.0,1
1152,1.1,7.0,1
1153,1.5,2.63,0
1154,1.02,21.0,1
1155,1.03,17.0,0
1156,1.14,5.5,1
1157,1.2,4.5,1
1158,1.22,4.33,1
1159,1.4,3.0,0
1160,1.08,8.0,1
1161,1.07,9.0,0
1162,1.08,8.0,1
1163,1.14,5.5,1
1164,1.14,5.5,0
1165,1.02,21.0,1
1166,1.03,17.0,1
1167,1.2,4.5,1
1168,1.14,5.5,1
1169,1.02,21.0,1
1170,1.02,19.0,1
1171,1.13,6.0,1
1172,1.3,3.5,1
1173,1.11,6.5,1
1174,2.1,1.8,0
1175,1.01,29.0,1
1176,1.13,6.0,0
1177,1.2,4.5,1
1178,1.1,7.0,1
1179,1.1,7.0,1
1180,1.1,7.0,1
1181,1.4,3.0,1
1182,3.0,1.4,0
1183,1.04,13.0,1
1184,1.06,10.0,1
1185,1.05,11.0,0
1186,1.04,13.0,1
1187,1.01,23.0,1
1188,1.22,4.33,1
1189,1.25,4.0,1
1190,2.5,1.53,1
1191,1.29,3.75,0
1192,1.1,7.0,0
1193,1.08,8.0,1
1194,1.05,11.0,1
1195,1.3,3.5,1
1196,1.25,4.0,1
1197,1.22,4.33,1
1198,1.22,4.33,0
1199,1.17,5.0,0
1200,1.3,3.5,0
1201,1.25,4.0,1
1202,1.29,3.75,1
1203,1.17,5.0,1
1204,1.36,3.2,1
1205,1.02,21.0,1
1206,1.07,9.0,1
1207,1.05,11.0,1
1208,1.08,8.0,1
1209,1.91,1.91,1
1210,4.33,1.22,0
1211,1.02,15.0,1
1212,1.06,9.0,1
1213,1.04,9.5,1
1214,1.17,5.0,1
1215,1.1,7.0,1
1216,2.8,1.4,0
1217,1.14,5.5,1
1218,1.05,11.0,1
1219,1.08,8.0,1
1220,1.14,5.5,1
1221,1.44,2.75,1
1222,4.0,1.25,0
1223,1.08,8.0,1
1224,1.08,8.0,1
1225,1.17,5.0,1
1226,1.33,3.4,1
1227,1.11,6.5,0
1228,1.2,4.5,1
1229,1.17,5.0,1
1230,1.2,4.5,1
1231,1.36,3.2,1
1232,1.02,17.0,1
1233,1.01,29.0,1
1234,1.06,10.0,1
1235,10.0,1.06,1
1236,3.5,1.3,0
1237,1.1,7.0,1
1238,1.13,6.0,1
1239,1.67,2.2,0
1240,1.44,2.75,0
1241,1.08,8.0,1
1242,1.1,7.0,1
1243,1.44,2.75,0
1244,1.05,11.0,1
1245,1.17,5.0,1
1246,1.13,6.0,1
1247,1.17,5.0,1
1248,1.57,2.38,1
1249,5.0,1.18,0
